date,Global Factor,CPB_res_std
2000-1,1.41757,-1.192878038
2000-2,1.2962,-1.125246423
2000-3,1.61235,-1.173541504
2000-4,1.49713,-1.021164823
2000-5,1.33145,-0.658220648
2000-6,1.33499,-0.912394112
2000-7,1.29398,-0.74194307
2000-8,1.49893,-0.589432618
2000-9,1.18795,-0.542810027
2000-10,1.13079,-0.42258967
2000-11,0.86186,-0.449407299
2000-12,1.11001,-0.31590964
2001-1,1.3417,-0.500826963
2001-2,1.03029,-0.640157755
2001-3,0.71143,-0.759520673
2001-4,1.04071,-0.952682743
2001-5,1.09118,-1.126076794
2001-6,0.93837,-1.193384862
2001-7,0.87644,-1.305137809
2001-8,0.7145,-1.363515893
2001-9,-0.10285,-1.559707485
2001-10,0.09558,-1.51037402
2001-11,0.53997,-1.566240108
2001-12,0.66947,-1.764192569
2002-1,0.67373,-1.610356695
2002-2,0.68561,-1.487486072
2002-3,0.93986,-1.453537246
2002-4,0.81471,-1.303898957
2002-5,0.79487,-1.4293533
2002-6,0.48383,-1.178426012
2002-7,0.00496,-1.22680122
2002-8,-0.05462,-1.216060272
2002-9,-0.56176,-1.102300167
2002-10,-0.36487,-1.120471893
2002-11,0.02337,-0.980851573
2002-12,-0.27513,-1.271854182
2003-1,-0.41723,-1.040999689
2003-2,-0.50436,-1.145111761
2003-3,-0.61781,-1.0667732
2003-4,-0.28534,-1.159528878
2003-5,0.03008,-1.193061431
2003-6,0.10344,-1.221141284
2003-7,0.33823,-1.149998619
2003-8,0.54169,-1.368631579
2003-9,0.44049,-1.004060362
2003-10,0.81643,-0.856347033
2003-11,0.86502,-0.728173495
2003-12,1.08272,-0.5400718
2004-1,1.1145,-0.726623957
2004-2,1.18827,-0.50162154
2004-3,1.19418,-0.467488605
2004-4,0.97311,-0.213008528
2004-5,1.02841,-0.157677077
2004-6,1.14899,-0.050840034
2004-7,0.99068,-0.123307712
2004-8,0.96505,-0.238796014
2004-9,1.14747,-0.128598122
2004-10,1.23351,4.64E-05
2004-11,1.48647,0.137341646
2004-12,1.61712,0.263943418
2005-1,1.4271,0.154810543
2005-2,1.60347,-0.004390848
2005-3,1.43842,0.057878943
2005-4,1.20688,0.418744578
2005-5,1.33122,0.354988257
2005-6,1.36386,0.410797173
2005-7,1.58662,0.304688789
2005-8,1.5365,0.413688721
2005-9,1.61497,0.529070276
2005-10,1.46035,0.683522512
2005-11,1.69963,0.752091555
2005-12,1.75125,1.14794967
2006-1,1.99999,1.055241815
2006-2,1.99926,1.153570728
2006-3,2.11652,1.274761682
2006-4,2.24068,1.335984624
2006-5,1.98363,1.284056977
2006-6,1.89837,1.455478347
2006-7,1.77458,1.176856801
2006-8,1.84578,1.373918643
2006-9,1.90109,1.603358599
2006-10,2.06627,1.596541441
2006-11,2.17968,1.687023577
2006-12,2.21471,1.822507355
2007-1,2.28987,1.659239702
2007-2,2.22369,1.75027238
2007-3,2.24017,1.583135846
2007-4,2.41364,1.639898252
2007-5,2.59216,1.687801644
2007-6,2.52738,1.754281745
2007-7,2.41509,1.717857861
2007-8,2.33166,1.875665559
2007-9,2.48591,1.840244314
2007-10,2.56734,1.889255685
2007-11,2.15022,1.957705461
2007-12,2.05546,1.965746753
2008-1,1.70173,2.416185074
2008-2,1.69417,2.315790632
2008-3,1.59764,2.13148261
2008-4,1.86024,2.334598318
2008-5,1.92447,2.299507865
